시간대,입찰가 (Bid),광고비 (Ad Spend),노출 수 (Impressions),클릭 수 (Clicks),전환 수 (Conversions),CVR (Conversion Rate),CR (Click Through Rate),CPR (Cost Per Conversion),CTR (Click Through Rate)
2025-04-01 10:00:00,4174,4217.0655559997895,5020,480,68,0.14166666666666666,0.09561752988047809,62.01566994117337,0.09561752988047809
2025-04-01 11:00:00,4507,4204.881602988892,5406,517,73,0.14119922630560927,0.09563448020717721,57.601117849162904,0.09563448020717721
2025-04-01 12:00:00,1860,1826.9869033697573,6014,575,81,0.1408695652173913,0.09561024276687728,22.555393868762437,0.09561024276687728
2025-04-01 13:00:00,2294,2421.3639277777215,9431,902,127,0.14079822616407983,0.09564203159792174,19.065857699037178,0.09564203159792174
2025-04-01 14:00:00,2130,2121.6376548750673,6838,654,92,0.14067278287461774,0.09564200058496636,23.061278857337687,0.09564200058496636
2025-04-01 15:00:00,2095,2298.334855228846,8188,783,111,0.1417624521072797,0.09562774792379092,20.705719416476093,0.09562774792379092
2025-04-01 16:00:00,4772,4654.359672908771,5714,546,77,0.14102564102564102,0.09555477773888695,60.44622951829573,0.09555477773888695
2025-04-01 17:00:00,4092,4296.254880700418,9146,874,124,0.14187643020594964,0.09556090094030177,34.647216779842076,0.09556090094030177
2025-04-01 18:00:00,2638,2581.541233281246,8854,847,120,0.14167650531286896,0.0956629771854529,21.512843610677052,0.0956629771854529
2025-04-01 19:00:00,3169,3377.624283083789,9419,901,127,0.14095449500554938,0.09565771313302898,26.595466795935348,0.09565771313302898
2025-04-01 20:00:00,1466,1486.2546867593974,9884,945,134,0.14179894179894179,0.09560906515580736,11.09145288626416,0.09560906515580736
2025-04-01 21:00:00,2238,2042.6278949244845,5140,491,69,0.14052953156822812,0.09552529182879377,29.60330282499253,0.09552529182879377
2025-04-01 22:00:00,1330,1206.794616791174,9565,915,129,0.14098360655737704,0.09566126502875065,9.354997029388946,0.09566126502875065
2025-04-01 23:00:00,2482,2300.244191772634,9882,945,134,0.14179894179894179,0.09562841530054644,17.166001431139062,0.09562841530054644
2025-04-02 00:00:00,3135,2830.072321946527,5963,570,80,0.14035087719298245,0.0955894683883951,35.37590402433159,0.0955894683883951
2025-04-02 01:00:00,4444,4066.579132841269,5372,513,72,0.14035087719298245,0.0954951600893522,56.48026573390651,0.0954951600893522
2025-04-02 02:00:00,4171,4330.928150118307,8635,826,117,0.14164648910411623,0.09565720903300522,37.01647991554108,0.09565720903300522
2025-04-02 03:00:00,3919,3945.920610368093,7541,721,102,0.14147018030513175,0.0956106617159528,38.68549618007935,0.0956106617159528
2025-04-02 04:00:00,4735,4971.665479748064,8610,823,116,0.14094775212636695,0.09558652729384437,42.85918517024193,0.09558652729384437
2025-04-02 05:00:00,1130,1223.3754600102275,6692,640,90,0.140625,0.09563658099222953,13.593060666780305,0.09563658099222953
2025-04-02 06:00:00,2685,2730.725298858779,5105,488,69,0.1413934426229508,0.09559255631733594,39.57572896896781,0.09559255631733594
